cells,compiler,compiler_class,completed,completion_ci95_high,completion_ci95_low,completion_rate,cx_ci95_high,cx_ci95_low,cx_mean,depth_ci95_high,depth_ci95_low,depth_mean,gates_ci95_high,gates_ci95_low,gates_mean,ir_bytes_ci95_high,ir_bytes_ci95_low,ir_bytes_mean,output_serialized_bits_ci95_high,output_serialized_bits_ci95_low,output_serialized_bits_mean,representation,rss_peak_bytes_ci95_high,rss_peak_bytes_ci95_low,rss_peak_bytes_mean,runtime_s_ci95_high,runtime_s_ci95_low,runtime_s_mean
15,semantic_reference,instrumented semantic reference,15,1.0,0.7961107336956521,1.0,35.86947791064191,15.06385542269142,25.466666666666665,35.53880349218497,8.461196507815028,22.0,53.80421686596287,22.595783134037138,38.2,982.8751909683592,432.3248090316408,707.6,7863.001527746874,3458.5984722531266,5660.8,semantic_aggregate,74138104.18390219,74086851.54943113,74112477.86666666,0.08538427514843043,0.0842598581849029,0.08482206666666667
15,phase_polynomial_reference,instrumented global phase table,15,1.0,0.7961107336956521,1.0,35.86947791064191,15.06385542269142,25.466666666666665,35.53880349218497,8.461196507815028,22.0,53.80421686596287,22.595783134037138,38.2,982.8751909683592,432.3248090316408,707.6,7863.001527746874,3458.5984722531266,5660.8,semantic_aggregate,74206697.42825998,74096901.50507335,74151799.46666667,0.09194355857341396,0.08224937475991936,0.08709646666666666
15,qiskit_opt3,configured local/preset diagnostic,15,1.0,0.7961107336956521,1.0,35.86947791064191,15.06385542269142,25.466666666666665,35.53880349218497,8.461196507815028,22.0,53.80421686596287,22.595783134037138,38.2,982.8751909683592,432.3248090316408,707.6,7863.001527746874,3458.5984722531266,5660.8,semantic_aggregate,76601521.62467149,75280342.90866184,75940932.26666667,0.09672050428370071,0.09542336238296595,0.09607193333333333
15,tket_paulisimp,external Pauli-network/global semantic,15,1.0,0.7961107336956521,1.0,185.3675764145529,11.965756918780457,98.66666666666667,160.87464514029034,7.925354859709657,84.4,362.6579022964414,120.14209770355859,241.4,5480.632563982545,1774.8341026841206,3627.733333333333,43845.06051186036,14198.672821472965,29021.866666666665,semantic_aggregate,157231750.0854039,142023102.18126276,149627426.13333333,0.42763106095326675,0.3464160057133999,0.38702353333333334
15,pyzx_full_reduce,external ZX/global-IR semantic,15,1.0,0.7961107336956521,1.0,298.472747726072,4.460585607261351,151.46666666666667,478.31052204701723,-5.643855380350516,236.33333333333334,985.9111534617455,68.35551320492112,527.1333333333333,10888.201390172435,708.1986098275638,5798.2,87105.61112137948,5665.5888786205105,46385.6,semantic_aggregate,111784032.8392733,110107755.96072671,110945894.4,0.38179047773932384,0.20009698892734284,0.29094373333333334
15,semantic_reference,instrumented semantic reference,15,1.0,0.7961107336956521,1.0,35.86947791064191,15.06385542269142,25.466666666666665,35.53880349218497,8.461196507815028,22.0,53.80421686596287,22.595783134037138,38.2,4759.601070297649,1663.598929702351,3211.6,7863.001527746874,3458.5984722531266,5660.8,contiguous_flat,74119321.65151237,74048836.2151543,74084078.93333334,0.0866538961383018,0.08462810386169822,0.08564100000000001
15,phase_polynomial_reference,instrumented global phase table,15,1.0,0.7961107336956521,1.0,35.86947791064191,15.06385542269142,25.466666666666665,35.53880349218497,8.461196507815028,22.0,53.80421686596287,22.595783134037138,38.2,4759.601070297649,1663.598929702351,3211.6,7863.001527746874,3458.5984722531266,5660.8,contiguous_flat,74281413.53497702,74137965.66502297,74209689.6,0.08685585159743808,0.0846757484025619,0.08576579999999999
15,qiskit_opt3,configured local/preset diagnostic,15,1.0,0.7961107336956521,1.0,35.86947791064191,15.06385542269142,25.466666666666665,35.53880349218497,8.461196507815028,22.0,53.80421686596287,22.595783134037138,38.2,4759.601070297649,1663.598929702351,3211.6,7868.261105223353,3461.8722281099804,5665.066666666667,contiguous_flat,76533486.80150521,75081864.66516146,75807675.73333333,0.09796375993230916,0.09605610673435752,0.09700993333333334
15,tket_paulisimp,external Pauli-network/global semantic,15,1.0,0.7961107336956521,1.0,185.3675764145529,11.965756918780457,98.66666666666667,160.87464514029034,7.925354859709657,84.4,362.6579022964414,120.14209770355859,241.4,6486.9628043939,2422.503862272767,4454.733333333334,43845.06051186036,14198.672821472965,29021.866666666665,contiguous_flat,157451373.33665827,142187956.79667506,149819665.06666666,0.4344120689455687,0.34992139772109787,0.3921667333333333
15,pyzx_full_reduce,external ZX/global-IR semantic,15,1.0,0.7961107336956521,1.0,298.472747726072,4.460585607261351,151.46666666666667,478.31052204701723,-5.643855380350516,236.33333333333334,985.9111534617455,68.35551320492112,527.1333333333333,11722.33209633555,1597.0012369977821,6659.666666666667,87105.61112137948,5665.5888786205105,46385.6,contiguous_flat,111810941.32494782,110107061.87505217,110959001.6,0.384841830562498,0.2075827027708355,0.2962122666666667
15,semantic_reference,instrumented semantic reference,15,1.0,0.7961107336956521,1.0,35.86947791064191,15.06385542269142,25.466666666666665,35.53880349218497,8.461196507815028,22.0,53.80421686596287,22.595783134037138,38.2,4759.601070297649,1663.598929702351,3211.6,7863.001527746874,3458.5984722531266,5660.8,round_robin_flat,74158248.2734095,73913790.1265905,74036019.2,0.08578727284775726,0.08434952715224271,0.08506839999999999
15,phase_polynomial_reference,instrumented global phase table,15,1.0,0.7961107336956521,1.0,35.86947791064191,15.06385542269142,25.466666666666665,35.53880349218497,8.461196507815028,22.0,53.80421686596287,22.595783134037138,38.2,4759.601070297649,1663.598929702351,3211.6,7863.001527746874,3458.5984722531266,5660.8,round_robin_flat,74273773.88632753,74134682.6470058,74204228.26666667,0.08782994891308839,0.08525325108691163,0.08654160000000001
15,qiskit_opt3,configured local/preset diagnostic,15,1.0,0.7961107336956521,1.0,145.35987705997584,49.5734562733575,97.46666666666667,55.781577673391425,23.418422326608574,39.6,218.03981558996375,74.36018441003623,146.2,4759.601070297649,1663.598929702351,3211.6,33023.369369713306,10855.030630286696,21939.2,round_robin_flat,77075626.91986291,75518395.4801371,76297011.2,0.10033351084218432,0.09705568915781566,0.0986946
15,tket_paulisimp,external Pauli-network/global semantic,15,1.0,0.7961107336956521,1.0,185.3675764145529,11.965756918780457,98.66666666666667,160.87464514029034,7.925354859709657,84.4,362.6579022964414,120.14209770355859,241.4,6486.9628043939,2422.503862272767,4454.733333333334,43848.36021906926,14201.773114264068,29025.066666666666,round_robin_flat,157480734.8256463,142224131.307687,149852433.06666666,0.43484171976596875,0.3485017469006979,0.3916717333333333
15,pyzx_full_reduce,external ZX/global-IR semantic,15,1.0,0.7961107336956521,1.0,298.472747726072,4.460585607261351,151.46666666666667,478.31052204701723,-5.643855380350516,236.33333333333334,985.9111534617455,68.35551320492112,527.1333333333333,11722.33209633555,1597.0012369977821,6659.666666666667,87105.61112137948,5665.5888786205105,46385.6,round_robin_flat,111812573.7985277,110111983.00147231,110962278.4,0.4054348224611861,0.21500424420548045,0.3102195333333333
15,semantic_reference,instrumented semantic reference,15,1.0,0.7961107336956521,1.0,35.86947791064191,15.06385542269142,25.466666666666665,35.53880349218497,8.461196507815028,22.0,53.80421686596287,22.595783134037138,38.2,4759.601070297649,1663.598929702351,3211.6,7863.001527746874,3458.5984722531266,5660.8,random_commuting_order,74167409.71241722,73948319.35424945,74057864.53333333,0.08647437853078663,0.08475348813588002,0.08561393333333332
15,phase_polynomial_reference,instrumented global phase table,15,1.0,0.7961107336956521,1.0,35.86947791064191,15.06385542269142,25.466666666666665,35.53880349218497,8.461196507815028,22.0,53.80421686596287,22.595783134037138,38.2,4759.601070297649,1663.598929702351,3211.6,7863.001527746874,3458.5984722531266,5660.8,random_commuting_order,74254269.81802143,74158555.78197856,74206412.8,0.08718631470468509,0.08514155196198157,0.08616393333333333
15,qiskit_opt3,configured local/preset diagnostic,15,1.0,0.7961107336956521,1.0,101.36348673958125,38.90317992708543,70.13333333333334,36.42478209239482,16.375217907605172,26.4,152.04523010937186,58.35476989062814,105.2,4759.601070297649,1663.598929702351,3211.6,23019.84854684481,8676.151453155191,15848.0,random_commuting_order,77555167.27539918,76310253.52460083,76932710.4,0.09880937049402913,0.09657302950597088,0.0976912
